key	name	types	stats	bst	primary	innates	moves	stat_source	mechanics	sprite_package	sprite_binding
R0105	Geodude — BlueTowel Alternate forms (Form 2)	Rock/Water	40/80/100/30/30/20	300	Rock Head, Solid Rock, Water Absorb	Battle Armor, Swift Swim, Rock Head	17	INHERITED_SPECIES_GEODUDE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0106	Graveler — BlueTowel Alternate forms (Form 2)	Rock/Water	55/95/115/45/45/35	390	Rock Head, Solid Rock, Water Absorb	Battle Armor, Swift Swim, Rock Head	17	INHERITED_SPECIES_GRAVELER	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0107	Golem — BlueTowel Alternate forms (Form 2)	Rock/Water	80/120/130/55/65/45	495	Rock Head, Solid Rock, Water Absorb	Battle Armor, Swift Swim, Rock Head	17	INHERITED_SPECIES_GOLEM	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0149	Hypno — Alternate (Form 2)	Psychic/Dark	85/73/70/73/115/67	483	Insomnia, Analytic, Moxie	Prism Scales, Nocturnal, Magic Bounce	18	INHERITED_SPECIES_HYPNO	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0172	Koffing — BlueTowel Alternate forms (Form 2)	Poison/Fire	40/65/95/60/45/35	340	Levitate, Merciless, Flash Fire	Poison Touch, Flame Body, Merciless	18	INHERITED_SPECIES_KOFFING	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0174	Weezing — BlueTowel Alternate forms (Form 2)	Poison/Fire	65/90/120/85/70/60	490	Levitate, Merciless, Flash Fire	Poison Touch, Flame Body, Merciless	20	INHERITED_SPECIES_WEEZING	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0175	Mega Rhyperior	Ground/Rock	115/170/165/55/90/40	635	Siege Engine	Ballistic Muscle, Solid Rock, Bulletproof	16	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE22_CUSTOM_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0184	Mega Tangrowth	Grass	100/110/150/135/80/60	635	Regenerator	Grassy Surge, Thick Fat, Chlorophyll	17	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0190	Staryu — Alternate (Form 1)	Water/Electric	30/45/55/70/55/85	340	Illuminate, Water Absorb, Motor Drive	Self Sufficient, Lightning Rod, Swift Swim	19	INHERITED_SPECIES_STARYU	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0191	Starmie — Alternate (Form 1)	Water/Electric	60/75/85/100/85/115	520	Illuminate, Water Absorb, Motor Drive	Self Sufficient, Lightning Rod, Swift Swim	19	INHERITED_SPECIES_STARMIE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0205	Mega Electivire	Electric/Fighting	75/155/85/95/95/135	640	Dynamo Fist	Motor Drive, Defiant, Vital Spirit	15	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE23_GRAPHICS_COMPLETE	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0210	Mega Magmortar	Fire/Steel	75/105/90/165/110/95	640	Mega Launcher	Flame Body, Flash Fire, Bulletproof	15	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE21_TECHNICAL_CANDIDATE	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0230	Flareon — Alternate (Form 3)	Fire/Steel	65/130/60/95/110/65	525	Flash Fire, Clear Body, Flame Body	Tough Claws, Battle Armor, Flame Body	26	INHERITED_SPECIES_FLAREON	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0237	Leafeon — Alternate (Form 3)	Grass/Ground	65/110/130/60/65/95	525	Leaf Guard, Chlorophyll, Sand Force	Grassy Surge, Sand Rush, Chlorophyll	27	INHERITED_SPECIES_LEAFEON	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0239	Glaceon — Alternate (Form 3)	Ice/Ghost	65/60/110/130/95/65	525	Snow Cloak, Snow Warning, Infiltrator	Prism Scales, Cursed Body, Ice Body	26	INHERITED_SPECIES_GLACEON	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0240	Sylveon — Alternate (Form 3)	Fairy/Psychic	95/65/65/110/130/60	525	Cute Charm, Serene Grace, Analytic	Prism Scales, Magic Bounce, Pixilate	26	INHERITED_SPECIES_SYLVEON	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0241	Mega Porygon	Normal/Electric	65/65/100/160/105/100	595	Download	Adaptability, Analytic, Transistor	14	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0267	Dragonite — Alternate (Form 1)	Dragon/Fairy	91/134/95/100/100/80	600	Inner Focus, Dragon's Maw, Serene Grace	Battle Armor, Pixilate, Multiscale	23	INHERITED_SPECIES_DRAGONITE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0283	Feraligatr — Alternate (Form 1)	Water/Dark	85/105/100/79/83/78	530	Torrent, Water Absorb, Moxie	Self Sufficient, Nocturnal, Swift Swim	17	INHERITED_SPECIES_FERALIGATR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0285	Hoothoot — Alternate (Form 1)	Psychic/Flying	60/30/30/36/56/50	262	Insomnia, Analytic, Gale Wings	Self Sufficient, Competitive, Magic Bounce	17	INHERITED_SPECIES_HOOTHOOT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0298	Ampharos — Alternate (Form 2)	Electric/Fairy	90/75/85/115/90/55	510	Static, Motor Drive, Serene Grace	Striker, Pixilate, Lightning Rod	23	INHERITED_SPECIES_AMPHAROS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0299	Ampharos — Alternate Mega (Form 3)	Electric/Fairy	90/95/105/165/110/45	610	Static, Motor Drive, Serene Grace	Striker, Pixilate, Lightning Rod	23	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0307	Sunflora — Alternate (Form 1)	Grass/Fire	75/75/55/105/85/30	425	Chlorophyll, Flash Fire, Grassy Surge	Self Sufficient, Flame Body, Grassy Surge	20	INHERITED_SPECIES_SUNFLORA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0310	Mega Yanmega	Bug/Dragon	86/76/101/151/81/120	615	Aerial Predator	Tinted Lens, Compound Eyes, Levitate	16	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE20_R4_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0315	Mega Honchkrow	Dark/Flying	100/150/72/115/72/96	605	Supreme Overlord	Super Luck, Moxie, Insomnia	11	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE7_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0316	Misdreavus — Alternate (Form 2)	Ghost/Psychic	60/60/60/85/85/85	435	Levitate, Infiltrator, Analytic	Infiltrator, Magic Bounce, Cursed Body	14	INHERITED_SPECIES_MISDREAVUS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0318	Mismagius — Alternate (Form 2)	Ghost/Psychic	60/60/60/105/105/105	495	Levitate, Infiltrator, Analytic	Pressure, Magic Bounce, Cursed Body	10	INHERITED_SPECIES_MISMAGIUS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0324	Dunsparce — BT Alt Forms - Earth (Form 2)	Normal/Ground	100/70/70/65/65/45	415	Serene Grace, Adaptability, Sand Force	Self Sufficient, Sand Rush, Quick Feet	18	INHERITED_SPECIES_DUNSPARCE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0332	Gliscor — Alternate (Form 1)	Ground/Dark	75/95/125/45/75/95	510	Hyper Cutter, Sand Force, Moxie	Solid Rock, Nocturnal, Sand Rush	18	INHERITED_SPECIES_GLISCOR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0334	Snubbull — Alternate (Form 1)	Fairy/Fighting	60/80/50/40/40/30	300	Intimidate, Serene Grace, Guts	Prism Scales, Scrappy, Pixilate	19	INHERITED_SPECIES_SNUBBULL	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0337	Granbull — Alternate (Form 1)	Fairy/Fighting	90/120/75/60/60/45	450	Intimidate, Serene Grace, Guts	Prism Scales, Scrappy, Pixilate	20	INHERITED_SPECIES_GRANBULL	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0343	Mega Weavile	Dark/Ice	70/105/85/130/100/120	610	Snow Warning	Refrigerate, Ice Scales, Technician	18	R7_RECOVERED_EXPLICIT	OWNER_LOCKED_OR_POSTSEAL	STAGE14_XY_LOCK	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0354	Mega Mamoswine	Ice/Ground	110/165/110/70/90/85	630	Snow Warning	Thick Fat, Snow Cloak, Ice Body	16	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE10R3_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0372	Donphan — Alternate (Form 1)	Ground/Steel	90/120/120/60/60/50	500	Sturdy, Sand Force, Clear Body	Solid Rock, Battle Armor, Sand Rush	19	INHERITED_SPECIES_DONPHAN	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0381	Larvitar — Space (Form 4)	Rock/Psychic	50/64/50/45/50/41	300	Guts, Solid Rock, Analytic	Sand Rush, Magic Bounce, Rock Head	19	INHERITED_SPECIES_LARVITAR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0384	Pupitar — Space (Form 4)	Rock/Psychic	70/84/70/65/70/51	410	Shed Skin, Solid Rock, Analytic	Battle Armor, Magic Bounce, Rock Head	20	INHERITED_SPECIES_PUPITAR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0388	Tyranitar — Space (Form 4)	Rock/Psychic	100/134/110/95/100/61	600	Sand Stream, Solid Rock, Analytic	Battle Armor, Magic Bounce, Rock Head	25	INHERITED_SPECIES_TYRANITAR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0421	Breloom — Alternate (Form 3)	Grass/Dark	60/130/80/60/60/70	460	Effect Spore, Chlorophyll, Moxie	Self Sufficient, Nocturnal, Grassy Surge	22	INHERITED_SPECIES_BRELOOM	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0438	Mega Probopass	Rock/Electric	60/65/175/110/180/35	625	Filter	Levitate, Analytic, Sturdy	20	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0440	Probopass — Alternate (Form 1)	Rock/Electric	60/55/145/75/150/40	525	Sturdy, Solid Rock, Motor Drive	Battle Armor, Lightning Rod, Rock Head	23	INHERITED_SPECIES_PROBOPASS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0442	Skitty — Alternate (Form 1)	Normal/Fairy	50/45/45/35/35/50	260	Cute Charm, Adaptability, Serene Grace	Self Sufficient, Pixilate, Quick Feet	20	INHERITED_SPECIES_SKITTY	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0444	Delcatty — Alternate (Form 1)	Normal/Fairy	70/65/65/55/55/90	400	Cute Charm, Adaptability, Serene Grace	Self Sufficient, Pixilate, Quick Feet	20	INHERITED_SPECIES_DELCATTY	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0450	Sableye — Alternate / Gemstone Mega (Form 3)	Rock/Ghost	50/85/125/85/115/20	480	Keen Eye, Solid Rock, Infiltrator	Nocturnal, Cursed Body, Rock Head	20	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0461	Electrike — Alternate (Form 2)	Electric/Ice	40/45/40/65/40/65	295	Static, Motor Drive, Snow Warning	Striker, Ice Body, Lightning Rod	16	INHERITED_SPECIES_ELECTRIKE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0464	Manectric — Mega Alternate (Form 3)	Electric/Ice	70/75/80/135/80/135	575	Static, Motor Drive, Snow Warning	Striker, Ice Body, Lightning Rod	18	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0470	Mega Roserade	Grass/Poison	60/70/85/155/120/125	615	Technician	Corrosion, Merciless, Grassy Surge	19	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0474	Swalot — Alternate (Form 1)	Poison/Water	100/73/83/73/83/55	467	Liquid Ooze, Merciless, Water Absorb	Poison Touch, Swift Swim, Merciless	19	INHERITED_SPECIES_SWALOT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0477	Wailmer — Alternate (Form 1)	Water/Ghost	130/70/35/70/35/60	400	Water Veil, Water Absorb, Infiltrator	Self Sufficient, Cursed Body, Swift Swim	18	INHERITED_SPECIES_WAILMER	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0479	Wailord — Alternate (Form 1)	Water/Ghost	170/90/45/90/45/60	500	Water Veil, Water Absorb, Infiltrator	Self Sufficient, Cursed Body, Swift Swim	20	INHERITED_SPECIES_WAILORD	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0504	Altaria — Alternate (Form 2)	Dragon/Ice	75/70/90/70/105/80	490	Natural Cure, Dragon's Maw, Snow Warning	Battle Armor, Ice Body, Multiscale	19	INHERITED_SPECIES_ALTARIA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0505	Altaria — Alternate Mega (Form 3)	Dragon/Ice	75/110/110/110/105/80	590	Natural Cure, Dragon's Maw, Snow Warning	Battle Armor, Ice Body, Multiscale	19	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0517	Mega Milotic	Water/Fairy	95/60/109/135/155/86	640	Multiscale	Marvel Scale, Competitive, Serene Grace	19	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	LOCKED_PRE_STAGE23_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0528	Dusknoir — Alternate (Form 1)	Ghost/Fighting	45/100/135/65/135/45	525	Pressure, Infiltrator, Guts	Infiltrator, Scrappy, Cursed Body	23	INHERITED_SPECIES_DUSKNOIR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0555	Salamence — Alternate (Form 2)	Dragon/Steel	95/135/80/110/80/100	600	Intimidate, Dragon's Maw, Clear Body	Battle Armor, Multiscale, Dragon's Maw	20	INHERITED_SPECIES_SALAMENCE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0556	Salamence — Alternate Mega (Form 3)	Dragon/Steel	95/145/130/120/90/120	700	Intimidate, Dragon's Maw, Clear Body	Battle Armor, Multiscale, Dragon's Maw	20	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0557	Beldum — Alternate (Form 2)	Steel/Ghost	40/55/80/35/60/30	300	Clear Body, Infiltrator, Battle Armor	Battle Armor, Cursed Body, Clear Body	4	INHERITED_SPECIES_BELDUM	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0558	Metang — Alternate (Form 2)	Steel/Ghost	60/75/100/55/80/50	420	Clear Body, Infiltrator, Battle Armor	Synchronize, Cursed Body, Battle Armor	18	INHERITED_SPECIES_METANG	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0560	Metagross — Alternate (Form 2)	Steel/Ghost	80/135/130/95/90/70	600	Clear Body, Infiltrator, Battle Armor	Battle Armor, Cursed Body, Clear Body	20	INHERITED_SPECIES_METAGROSS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0561	Metagross — Alternate Mega (Form 3)	Steel/Ghost	80/145/150/105/110/110	700	Clear Body, Infiltrator, Battle Armor	Battle Armor, Cursed Body, Clear Body	20	CANON_MEGA_SPREAD_FOR_ALTERNATE_MEGA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0597	Cranidos — Alternate (Form 1)	Rock/Fighting	67/125/40/30/30/58	350	Mold Breaker, Solid Rock, Guts	Tough Claws, Scrappy, Rock Head	14	INHERITED_SPECIES_CRANIDOS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0598	Mega Rampardos	Rock	97/195/75/65/65/98	595	Rock Head	Mold Breaker, Sheer Force, Reckless	13	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0601	Shieldon — Alternate (Form 1)	Rock/Grass	30/42/118/42/88/30	350	Sturdy, Solid Rock, Chlorophyll	Battle Armor, Grassy Surge, Rock Head	15	INHERITED_SPECIES_SHIELDON	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0602	Mega Bastiodon	Rock/Steel	60/72/198/67/168/30	595	Filter	Sturdy, Heavy Metal, Battle Armor	14	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE9_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0607	Combee — Alternate (Form 1)	Bug/Fire	30/30/42/30/42/70	244	Honey Gather, Tinted Lens, Flash Fire	Compound Eyes, Flame Body, Tinted Lens	7	INHERITED_SPECIES_COMBEE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0608	Vespiquen — Alternate (Form 1)	Bug/Fire	70/80/102/80/102/40	474	Pressure, Tinted Lens, Flash Fire	Compound Eyes, Flame Body, Tinted Lens	22	INHERITED_SPECIES_VESPIQUEN	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0628	Mega Purugly	Normal/Dark	90/135/90/65/75/140	595	Tough Claws	Intimidate, Strong Jaw, Quick Feet	19	R7_RECOVERED_EXPLICIT	OWNER_LOCKED_OR_POSTSEAL	STAGE12R1_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0631	Mega Skuntank	Poison/Dark	115/125/90/90/80/95	595	Merciless	Aftermath, Poison Touch, Stench	16	R7_RECOVERED_EXPLICIT	OWNER_LOCKED_OR_POSTSEAL	STAGE13R2_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0633	Mega Bronzong	Steel/Psychic	67/109/156/109/126/33	600	Levitate	Heatproof, Heavy Metal, Analytic	17	R7_RECOVERED_EXPLICIT	OWNER_LOCKED_OR_POSTSEAL	STAGE11R1_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0636	Mega Spiritomb	Ghost/Dark	50/112/128/112/128/55	585	Pressure	Cursed Body, Nocturnal, Magic Bounce	14	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	SOURCE_FRONT_BACK_RESOLVED	GBA_CONVERSION_OR_ATLAS_BINDING_PENDING
R0648	Mega Hippowdon	Ground/Rock	108/142/158/68/102/47	625	Sand Stream	Solid Rock, Sand Force, Stamina	18	R7_RECOVERED_EXPLICIT	OWNER_LOCKED_OR_POSTSEAL	STAGE20_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0652	Mega Drapion	Poison/Dark	70/130/130/60/95/115	600	Nerve Agent	Merciless, Sniper, Battle Armor	21	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	STAGE16R1_LOCKED_MASTER	MASTER_KNOWN__NEXTDEX_ATLAS_IMPORT_PENDING
R0655	Carnivine — Alternate (Form 2)	Grass/Dark	74/100/72/90/72/46	454	Levitate, Chlorophyll, Moxie	Grassy Surge, Nocturnal, Chlorophyll	16	INHERITED_SPECIES_CARNIVINE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0683	Purrloin — Alternate (Form 1)	Dark/Fairy	41/50/37/50/37/66	281	Limber, Moxie, Serene Grace	Nocturnal, Pixilate, Moxie	15	INHERITED_SPECIES_PURRLOIN	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
